PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
20130202;0;12;13671;ReprEvadiu;4;23;0;0;0;0.030429376;0;0.658400995;0.311169629;416;0;9001;4254;0;0;0;12;3879;1;133;9;86
20130202;29;20;35921;Sucesso;19;54;6190;8;872;0;0.129868322;0.303276635;0.566855043;0;4665;10894;20362;0;4;0;49;9506;3;2309;44;266
20130202;15;11;24204;Sucesso;15;45;2494;6;2414;0;0;0.268096182;0.731903818;0;0;6489;17715;0;4;0;27;4328;2;1608;42;199
20130202;6;11;11095;Sucesso;9;23;614;0;300;0;0;0.253447499;0.746552501;0;0;2812;8283;0;5;0;20;993;2;3150;27;108
20130202;13;16;26896;Sucesso;7;39;3404;0;0;0;0.076516954;0.547702261;0.375780785;0;2058;14731;10107;0;5;0;50;7243;3;3324;46;176
20130202;9;25;41929;Sucesso;4;64;425;0;47;0;0.270481051;0.270814949;0.458704;0;11341;11355;19233;0;12;0;29;8685;1;2650;12;303
20130202;4;10;7642;Sucesso;7;19;496;0;51;0;0.219445171;0.370714473;0.409840356;0;1677;2833;3132;0;1;0;5;1255;2;1781;27;70
20130202;10;14;24321;ReprEvadiu;7;45;1939;9;1936;0;0.173348135;0.185477571;0.641174294;0;4216;4511;15594;0;2;0;41;10373;1;713;29;152
20130202;12;22;33655;Sucesso;10;58;4331;0;365;0.197266379;0.148388055;0.136740455;0.517605111;6639;4994;4602;17420;0;5;0;46;10784;3;4028;43;245
20130202;17;23;33785;Sucesso;19;63;6362;0;0;0;0;0.49667012;0.50332988;0;0;16780;17005;0;4;0;30;4720;3;3431;55;277
20130202;4;17;22504;Sucesso;5;32;320;0;0;0.026395308;0;0.254399218;0.719205475;594;0;5725;16185;0;3;0;34;8585;3;2626;21;118
20130202;3;14;19159;Sucesso;8;24;2570;0;0;0;0.381021974;0.387859492;0.231118534;0;7300;7431;4428;0;4;0;16;3809;3;3206;23;89
20130202;3;15;19982;Sucesso;10;26;877;0;26;0.107947152;0.533580222;0.107496747;0.250975878;2157;10662;2148;5015;0;3;0;17;3017;3;4278;43;131
20130202;7;15;9893;Sucesso;1;28;300;0;0;0.130698474;0.071565754;0.487314263;0.31042151;1293;708;4821;3071;0;2;0;20;2081;1;323;9;151
20130202;0;5;21878;ReprEvadiu;11;40;0;5;1610;0;0;0.309443276;0.690556724;0;0;6770;15108;0;1;0;23;6991;1;1006;31;164
20130202;16;24;38462;Sucesso;9;42;3289;0;1026;0.066039208;0.063491238;0.322916125;0.547553429;2540;2442;12420;21060;0;6;0;32;11643;3;3094;39;247
20130202;41;37;78468;Sucesso;25;202;7201;1;855;0.007646429;0.21839476;0.476245094;0.297713718;600;17137;37370;23361;0;9;0;86;13743;3;8680;76;934
20130202;4;15;15040;Sucesso;3;14;669;0;14;0.039893617;0.189029255;0.503922872;0.267154255;600;2843;7579;4018;0;7;0;30;4866;1;2350;22;92
20130202;11;35;57506;Sucesso;10;182;1762;44;8487;0.114127222;0.068375474;0.172868918;0.644628387;6563;3932;9941;37070;0;12;0;40;7470;0;1117;64;696
